ps_id,region_name,subregion_name,Baburin,Grudinin,Zhirinovskiy,Putin,Sobchak,Suraikin,Titov,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive
"",Altajskij kraj,Mamontovskaa,2,136,31,381,1,3,"",501,555,762,58,501,58,"",""
"",Altajskij kraj,Mamontovskaa,5,106,45,311,7,3,1,441,478,755,47,441,47,"",""

